Id,Text,label,human_is_hazard,pred_hazard_ft,pred_label_ft,confidence
165257,"Having tried a couple of other brands of gluten-free sandwich cookies, these are the best of the bunch.  They're crunchy and true to the texture of the other ""real"" cookies that aren't gluten-free.  Some might think that the filling makes them a bit too sweet, but for me that just means I've satisfied my sweet tooth sooner!  The chocolate version from Glutino is just as good and has a true ""chocolatey"" taste - something that isn't there with the other gluten-free brands out there.",safe,0,0,safe,0.999775230884552
231466,"My cat loves these treats. If ever I can't find her in the house, I just pop the top and she bolts out of wherever she was hiding to come get a treat. She doesn't like crunchy treats much, so these are perfect for her. I've given her all three flavors and she seems to like them all equally. They do tend to dry out by the time I near the end of the bottle, however. The flip-top lid is very handy. Very nice, inexpensive kitty treats. I have yet to meet a cat that doesn't just love these!",safe,0,0,safe,0.9997183680534363
427828,A little less than I expected.  It tends to have a muddy taste - not what I expected since they said it was the favorite of the company.,quality_defect,1,1,hazard,0.9992856383323669
433955,"First there was Frosted Mini-Wheats, in original size, then there was Frosted Mini-Wheats Bite Size. Well, if for some reason those were too much of a mouthful, we now have Frosted Mini-Wheats Little Bits. Yes, these are about half the size of the Bite Size versions. This particular one is ""Cinnamon Roll"".<br /><br />There is nothing new to the table here with the exception of size, which I is unnecessary. Personally, I like original flavor and size the best. But the Bite Size edition were accommodating. These come off as a desperate attempt to give attention to a brand that needs some sort of life put back into it and all they came up with was making them smaller and having a new flavor, which is actually too sweet for me.<br /><br />A serving size is approximately 47 biscuits. Thats 1 gram of polyunsaturated fat, 46 grams of carbohydrates, 6g fiber, 12g of sugar, 5g of protein and 200mg of potassium. Generally they look good but I guess those that are watching their carb intake might want to be careful.<br /><br />These probably fit on a spoon better than its predecessors in a bowl of milk, but I like the other kinds cause they snack better without the milk. But here, these small ones are easily to snack more than you should.<br /><br />I am grading this product 2 stars for 3 reasons 1) I dont think making them smaller has any reason for existing outside of Kellogs filling the shelves with more versions of something that was fine to begin with. 2) This flavor, Cinnamon Roll, is sweet and has a synthetic taste to it. 3) On the plus side, I like Mini-Wheats in general, so it saved it from being one star.",safe,0,0,safe,0.9983331561088562
70261,"and I want to congratulate the graphic artist for putting the entire product name on such a small box.  The ad men must have really thought long and hard.<br /><br />But seriously, I love the product. The taste was refreshing and I thought that the taste was pleasing with no aftertaste.  Not too sweet and Goldilocks would have stopped right there if there was a choice of 3.  Easy to use as you just pour the contents into a 16 oz bottle of water and shake.  Mixed well, no granulation, you really couldn't ask for anything more and Lipton like a good drug dealer knows what they are doing, give me a taste for free and have me for life.  5 stars.",safe,0,0,safe,0.9995824694633484
49867,"Please add more Pineapple flavor to your packages of lifesavers, in fact, can you sell pineapple flavor by itself?",safe,0,0,safe,0.9985774755477905
551048,I absolutely love Yorkshire tea and am so glad it is now available on Amazon!  A cup of this full-bodied black tea with milk in the morning is how I start each day and just love it!,safe,0,0,safe,0.9997385144233704
18984,I have such a hard time finding loose tea locally. Being able to order my favorite Lady Grey tea on Amazon is convenient and timesaving. The tea comes in a six-pack of tins that are just the right size to insure continued freshness. Speedy shipping too!,safe,0,0,safe,0.9996932744979858
138969,"Previously, I've attempted a recipe with white rice noodles and overcooked them, which made them soggy. So I was determined not to overcook these brown rice noodles. I tried making two dishes. The first was a miso soup with brown rice noodles, which was really just broth with miso and green onions and the noodles added when it was hot. The noodles softened and puffed up, but I think I should of softened them in water and maybe rinsed them first. The broth ended up being a little starchy from the noodles, but it was pretty good.<br /><br />The noodles by themselves don't really have any flavor, they just take on the flavor of whatever dish they are in. So the rice noodles in miso probably wasn't the best idea because the mild miso flavor didn't really give the noodles much flavor. I also tried stir frying the noodles which was much better. I just soaked the noodles in hot water, for about a minute, and then drained them. They came out clear and kind of crunchy. Then I stir fried them with garlic, onion, salt, and coconut oil. I also added some vinegar and nama shoyu for flavor. These noodles came out crunchy and spicy and actually were pretty good.<br /><br />The nice thing about these noodles is they only need about a minute in warm water and then they can be fried or added to soups or other dishes, so they are fairly versatile. They are also gluten free and the brown rice noodles seem more firm than the white rice noodles. As another reviewer posted it does look like these noodles are made in Singapore.",safe,0,0,safe,0.9992040991783142
36353,"I make pancakes or waffles every Saturday morning with my kids, and there simply is no comparison between this product and any other baking powder I have come across. Even the more expensive brands from Trader Joe's or Whole Foods pale in comparison. Batter comes out light and fluffy every time, and my kids love them. I have also been known to eat a pancake or two. Get the pack of 6 and store up.",safe,0,0,safe,0.9997574687004089
